"","shop","URL","type","name","ingredients","Valeurs Energétiques en Kj (ap100g/ml)","Valeurs Energétiques en Kcal (ap100g/ml)","Matières grasses (en g) (ap100g/ml)","dont acides gras saturés (en g) (ap100g/ml)","Glucides (en g) (ap100g/ml)","dont sucres (en g) (ap100g/ml)","Protéines (en g) (ap100g/ml)","Sel (en g) (ap100g/ml)","Valeurs Energétiques en Kj (ap_jour_%)","Valeurs Energétiques en Kcal (ap_jour_%)","Matières grasses (en g) (ap_jour_%)","dont acides gras saturés (en g) (ap_jour_%)","Glucides (en g) (ap_jour_%)","dont sucres (en g) (ap_jour_%)","Protéines (en g) (ap_jour_%)","Sel (en g) (ap_jour_%)","Fibres alimentaires (en g) (ap100g/ml)","Fibres alimentaires (en g) (ap_jour_%)","Vitamine D (en µg) (ap100g/ml)","Calcium (en mg) (ap100g/ml)","Vitamine D (en µg) (ap_jour_%)","Calcium (en mg) (ap_jour_%)","Amidon (en g) (ap100g/ml)","Vitamine E (en mg) (ap100g/ml)","Vitamine C (en mg) (ap100g/ml)","Vitamine B6 (en mg) (ap100g/ml)","Potassium (en mg) (ap100g/ml)","Chlorure (en mg) (ap100g/ml)","Magnésium (en mg) (ap100g/ml)","Zinc (en mg) (ap100g/ml)","Amidon (en g) (ap_jour_%)","Vitamine E (en mg) (ap_jour_%)","Vitamine C (en mg) (ap_jour_%)","Vitamine B6 (en mg) (ap_jour_%)","Potassium (en mg) (ap_jour_%)","Chlorure (en mg) (ap_jour_%)","Magnésium (en mg) (ap_jour_%)","Zinc (en mg) (ap_jour_%)","Vitamine A (en µg) (ap100g/ml)","Vitamine K (en µg) (ap100g/ml)","Thiamine (en mg) (ap100g/ml)","Riboflavine (en mg) (ap100g/ml)","Niacine (en mg) (ap100g/ml)","Acide folique (en µg) (ap100g/ml)","Vitamine B12 (en µg) (ap100g/ml)","Acide pantothénique (en mg) (ap100g/ml)","Phosphore (en mg) (ap100g/ml)","Fer (en mg) (ap100g/ml)","Cuivre (en mg) (ap100g/ml)","Manganèse (en mg) (ap100g/ml)","Fluorure (en mg) (ap100g/ml)","Iode (en µg) (ap100g/ml)","Vitamine A (en µg) (ap_jour_%)","Vitamine K (en µg) (ap_jour_%)","Thiamine (en mg) (ap_jour_%)","Riboflavine (en mg) (ap_jour_%)","Niacine (en mg) (ap_jour_%)","Acide folique (en µg) (ap_jour_%)","Vitamine B12 (en µg) (ap_jour_%)","Acide pantothénique (en mg) (ap_jour_%)","Phosphore (en mg) (ap_jour_%)","Fer (en mg) (ap_jour_%)","Cuivre (en mg) (ap_jour_%)","Manganèse (en mg) (ap_jour_%)","Fluorure (en mg) (ap_jour_%)","Iode (en µg) (ap_jour_%)"
"73","Auchan","https://www.auchan.fr/vrai-yaourt-myrtilles-bio-au-lait-de-chevre-2x115g/pr-222707","adult","VRAI Yaourt myrtilles bio au lait de chèvre 2x115g","Ingrédients : LAIT de chèvre*, myrtille* 8%, sucre de canne non raffiné* 6,8%, amidon de tapioca*, arôme naturel*, épaississant : farine de graines de caroube*, jus concentré de citron*, ferments lactiques sélectionnés (LAIT)  *Issus de l'agriculture biologique","
            402
        ","
            96
        ","
            4
        ","
            2.8
        ","
            11
        ","
            10.3
        ","
            3.8
        ","
            0.08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Auchan","https://www.auchan.fr/auchan-bio-faiselle-4x100g/pr-20764","adult","AUCHAN BIO Faiselle 4x100g","Lait  entier pasteurisé *, ferments lactiques (contient  lait ), présure. &#xa0;* biologique Elaboré à partir de lait origine France","
            301
        ","
            72
        ","
            4.5
        ","
            3.1
        ","
            4.2
        ","
            3.6
        ","
            3.7
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Auchan","https://www.auchan.fr/vrai-yaourt-brasse-bio-au-lait-de-chevre-abricot-2x115g/pr-222705","adult","Vrai yaourt brassé bio au lait de chèvre abricot 2x115g","Ingrédients : LAIT de chèvre*, abricot* 8%, sucre de canne non raffiné* 6,8%, amidon de tapioca*, arôme naturel*, épaississant : farine de graine de caroube*, jus concentré de citron*, ferments lactiques sélectionnés (LAIT).  *Issu de l'agriculture biologique","
            393
        ","
            94
        ","
            4
        ","
            2.8
        ","
            10.5
        ","
            10
        ","
            3.8
        ","
            0.08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Auchan","https://www.auchan.fr/la-bressane-fromage-frais-en-faisselle-6x125g/pr-219221","adult","La Bressane Fromage frais en faisselle 6x125g","LAIT* écrémé pasteurisé, CREME* pasteurisée, poudre de LAIT* écrémé, ferments, présure.","
            338
        ","
            89
        ","
            4.5
        ","
            3.3
        ","
            5.9
        ","
            4.5
        ","
            4.3
        ","
            0.2
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Auchan","https://www.auchan.fr/discount-fromage-blanc-20-mg-1kg/pr-181808","adult","DISCOUNT Fromage blanc 20%MG 1kg","Lait demi-écrémé pasteurisé, ferments lactiques.","
            305
        ","
            73
        ","
            3.1
        ","
            2
        ","
            3.9
        ","
            3.9
        ","
            7.3
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Auchan","https://www.auchan.fr/gerentes-fromage-frais-au-lait-de-montagne-3kg/pr-92500039","adult","GERENTES Fromage frais au lait de montagne 3kg","LAIT écrémé et CREME pasteurisés de vache, ferments LACTIQUES","
            488
        ","
            117
        ","
            7.8
        ","
            4.7
        ","
            3.2
        ","
            3.1
        ","
            8.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Auchan","https://www.auchan.fr/gerentes-fromage-blanc-au-lait-de-montagne-1kg/pr-92500038","adult","GERENTES Fromage blanc au lait de montagne 1kg","LAIT écrémé et CREME pasteurisés de vache, ferments LACTIQUES","
            321
        ","
            77
        ","
            3.3
        ","
            1.9
        ","
            3.2
        ","
            3.1
        ","
            8.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Auchan","https://www.auchan.fr/pur-natur-yaourt-brasse-nature-bio-500g/pr-314713","adult","PUR NATUR Yaourt brassé nature bio 500g","LAIT entier*, LAIT écrémé en poudre*, ferments vivants.&#xa0;","
            313
        ","
            75
        ","
            3.8
        ","
            2.4
        ","
            5.7
        ","
            5.7
        ","
            4.3
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Auchan","https://www.auchan.fr/pouce-fromage-blanc-3-mg-1kg/pr-43879","adult","Pouce fromage blanc 3%mg 1kg","Fromage blanc ( lait  écrémé pasteurisé, crème pasteurisée (contient  lait )&#xa0;et&#xa0;ferments lactiques).","
            301
        ","
            72
        ","
            2.8
        ","
            1.9
        ","
            4.9
        ","
            4.9
        ","
            6.7
        ","
            0.09
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Auchan","https://www.auchan.fr/jockey-cottage-cheese-fromage-frais-2x200g/pr-49730","adult","Jockey Cottage cheese fromage frais 2x200g","LAIT écrémé pasteurisé, crème (LAIT) pasteurisée, sel (0,8%), ferments lactiques (LAIT), présure microbienne","
            383
        ","
            92
        ","
            3.9
        ","
            2.5
        ","
            1.6
        ","
            1.6
        ","
            12
        ","
            0.77
        ","
            9
        ","
            9
        ","
            11
        ","
            25
        ","
            2
        ","
            5
        ","
            47
        ","
            17
        ","0","0","0","
            87
        ","0","
            13
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Auchan","https://www.auchan.fr/pur-natur-yaourt-brasse-nature-bio-1kg/pr-316681","adult","PUR NATUR Yaourt brassé nature bio 1kg","Yaourt* (LAIT)entier aux ferments vivants","
            313
        ","
            75
        ","
            3.8
        ","
            2.4
        ","
            5.7
        ","
            5.7
        ","
            4.3
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Auchan","https://www.auchan.fr/rians-fromage-blanc-2kg/pr-15690","adult","Rians fromage blanc 2kg","Ferments LACTIQUES 3,00 %Présure animale 0,00 %CREME fraîche pasteurisée 2,00 %LAIT entier pasteurisé 95,00 %","
            352
        ","
            84
        ","
            6.1
        ","
            3.9
        ","
            3.9
        ","
            3.9
        ","
            3.4
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Auchan","https://www.auchan.fr/auchan-bio-brasse-nature-4x125g/pr-34676","adult","Auchan bio brassé nature 4x125g","Oui","
            313.4
        ","
            74.8
        ","
            3.6
        ","
            2.3
        ","
            6
        ","
            5.8
        ","
            4.6
        ","
            .13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Auchan","https://www.auchan.fr/calin-fromage-blanc-nature-bio-450g/pr-292383","adult","Calin fromage blanc nature bio 450g","Oui","
            332
        ","
            79
        ","
            3.2
        ","
            2.2
        ","
            6.3
        ","
            6.3
        ","
            5.3
        ","
            .12
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            .1
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Auchan","https://www.auchan.fr/danone-petit-frais-fromage-frais-nature-6x60g/pr-160169","adult","Danone  petit frais fromage frais nature 6x60g","LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur (sorbate de calcium (papier traité) / E203 (papier traité)) LAIT : Origine France","
            367
        ","
            88
        ","
            3.9
        ","
            2.7
        ","
            3.8
        ","
            3.8
        ","
            9.3
        ","
            .08
        ","
            3
        ","
            3
        ","
            3
        ","
            8
        ","
            1
        ","
            3
        ","
            11
        ","
            
        ","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Auchan","https://www.auchan.fr/etrez-fromage-blanc-faisselle-12x100g-40-mg/pr-92500050","adult","Etrez Fromage Blanc Faisselle 12X100g - 40% mg","LAIT origine France entier pasteurisé, CREME pasteurisée, ferments LACTIQUES","
            398
        ","
            96
        ","
            7
        ","
            4.3
        ","
            4.1
        ","
            3.9
        ","
            4.4
        ","
            0.09
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Auchan","https://www.auchan.fr/la-bruyere-faisselle-40-mg-12x125g/pr-383597","adult","La Bruyère faisselle 40%mg 12x125g","Non","
            348
        ","
            84
        ","
            5.5
        ","
            3.5
        ","
            4.5
        ","
            4.5
        ","
            4
        ","
            .08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Auchan","https://www.auchan.fr/les-freres-adam-fromage-blanc-40-500gr/pr-92500066","adult","Les Frères Adam fromage blanc 40% 500gr","LAIT et crèmes fraiches pasteurisés, ferments, présure","
            498
        ","
            120
        ","
            8.4
        ","
            5.8
        ","
            3.8
        ","
            3.3
        ","
            7.3
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Auchan","https://www.auchan.fr/les-monts-yssingelais-fromage-frais-7-8-mg-1kg/pr-544754","adult","Les Monts Yssingelais fromage frais 7,8%mg -1kg","LAIT écrémé et CREME pasteurisés, ferments LACTIQUES","
            117
        ","
            488
        ","
            7.8
        ","
            4.7
        ","
            3.2
        ","
            3.1
        ","
            8.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Auchan","https://www.auchan.fr/mmm-fromage-blanc-1kg/pr-863421","adult","Mmm! fromage blanc 1kg","Lait &#xa0;entier pasteurisé, ferments lactiques. Elaboré à partir de lait origine France","
            392
        ","
            94
        ","
            7
        ","
            4.2
        ","
            3.3
        ","
            3.3
        ","
            4.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Auchan","https://www.auchan.fr/rians-faisselles-0-de-mg-x4-2-offertes-600g/pr-869118","adult","Rians Faisselles 0% de MG x4 + 2 offertes 600g","LAIT de vache pasteurisé","
            136
        ","
            32
        ","
            0
        ","
            0
        ","
            3.5
        ","
            3
        ","
            4.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Auchan","https://www.auchan.fr/rians-faisselles-x4-2-offertes-600g/pr-659641","adult","Rians Faisselles x4 + 2 offertes 600g","LAIT entier pasteuriséCREME pasteuriséeFerments lactiques-Présure animale","
            305
        ","
            73
        ","
            4.4
        ","
            3
        ","
            4.5
        ","
            4.1
        ","
            3.8
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Auchan","https://www.auchan.fr/faisselle-6-5-mg-5x125g-1offert/pr-645955","adult","faisselle 6,5%mg 5x125g +1offert","LAIT entier pasteurisé de vache ,LACTOSERUM,ferments,présure.","
            416
        ","
            100
        ","
            6.5
        ","
            4.7
        ","
            5.2
        ","
            2
        ","
            5.1
        ","
            0.07
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Auchan","https://www.auchan.fr/fromage-frais-format-suisse-6x60g/pr-181124","adult","fromage frais format suisse 6x60g","Fromage frais au lait demi-écrémé pasteurisé, conservateur : sorbate de calcium (papier traité).","
            356
        ","
            85
        ","
            3.6
        ","
            2.3
        ","
            3.5
        ","
            3.5
        ","
            9.6
        ","
            .1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Auchan","https://www.auchan.fr/sarasson-fromage-frais-nature-7-mg-500g/pr-24209","adult","Sarasson fromage frais nature 7%mg 500g","Lait entier pasteurisé (origine : France), crème pasteurisée (origine : France), présure, ferments lactiques sélectionnés.","
            426
        ","
            102
        ","
            7
        ","
            4.7
        ","
            4.8
        ","
            4.8
        ","
            5
        ","
            0.12
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Auchan","https://www.auchan.fr/st-malo-fromage-frais-nature-20-de-matiere-grasse-500g/pr-47214","adult","St Malo fromage frais nature 20% de matière grasse 500g","LAIT écrémé pasteurisé , LAIT entier pasteurisé, conservateur : sorbate de potassium, ferments LACTIQUES.&#xa0;","
            264
        ","
            63
        ","
            3
        ","
            2
        ","
            3.2
        ","
            3.2
        ","
            5.8
        ","
            .09
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Auchan","https://www.auchan.fr/vrai-brasse-nature-bio-500g/pr-12066","adult","Vrai brassé nature bio 500g","LAIT entier*, LAIT écrémé en poudre*, ferments lactiques sélectionnés.* Issu de l'Agriculture Biologique","
            312
        ","
            74
        ","
            3.6
        ","
            2.4
        ","
            6
        ","
            4.9
        ","
            4.5
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Auchan","https://www.auchan.fr/vrai-yaourt-brasse-bio-au-lait-de-brebis-nature-2x115g/pr-197235","adult","Vrai yaourt brassé bio au lait de brebis nature 2x115g","Ingrédients : LAIT de brebis entier pasteurisé*, eau, ferments lactiques sélectionnés (LAIT).  *Issus de l'agriculture biologique","
            413
        ","
            99
        ","
            6.7
        ","
            4.2
        ","
            4.2
        ","
            4.2
        ","
            5.5
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Auchan","https://www.auchan.fr/danone-du-monde-skyr-0-mg-nature-2x140g/pr-291091","adult","Danone du monde Skyr 0% MG nature  2x140g","LAIT écrémé ferments lactiques (LAIT) LAIT : Origine France","
            244
        ","
            57
        ","
            0.2
        ","
            0.1
        ","
            3.9
        ","
            3.9
        ","
            10
        ","
            0.09
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","0","0","0","
            110
        ","0","
            13
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Auchan","https://www.auchan.fr/yoplait-calin-fromage-blanc-nature-3-2-mg-8x100g/pr-293581","adult","YOPLAIT Calin Fromage blanc nature 3.2% MG 8x100g","Ingrédients : LAIT écrémé partiellement déshydraté -LAIT écrémé - CREME - Concentré des minéraux du LAIT - Ferments LACTIQUES (LAIT) - Vitamine D. LAIT D'ORIGINE FRANCE","
            348
        ","
            83
        ","
            3.2
        ","
            2.2
        ","
            6.8
        ","
            6.8
        ","
            5.7
        ","
            0.12
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            0.1
        ","
            
        ","
            5
        ","
            240
        ","
            100
        ","
            30
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Auchan","https://www.auchan.fr/danone-du-monde-skyr-0-mg-nature-480g/pr-299082","adult","Danone du monde Skyr 0% MG nature  480g","LAIT écrémé, ferments lactiques (LAIT) LAIT : Origine France","
            244
        ","
            57
        ","
            0.2
        ","
            0.1
        ","
            3.9
        ","
            3.9
        ","
            10
        ","
            0.09
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","0","0","0","
            110
        ","0","
            13
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Auchan","https://www.auchan.fr/auchan-skyr-nature-450g/pr-298264","adult","AUCHAN Skyr nature 450g","lait  écrémé pasteurisé, ferments  lactiques.     Elaboré à partir de lait origine France.","
            237.8
        ","
            56.1
        ","
            0.5
        ","
            0.1
        ","
            3.2
        ","
            3.2
        ","
            9.7
        ","
            0.11
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Auchan","https://www.auchan.fr/auchan-yaourt-nature-12x125g/pr-800974","adult","AUCHAN Yaourt nature 12x125g","Lait  partiellement écrémé, lactose  (lait)  et protéines de  lait , ferments lactiques  (lait).  Elaboré à partir de lait origine France.","
            191.2
        ","
            45.4
        ","
            1.4
        ","
            0.9
        ","
            4.2
        ","
            4.2
        ","
            4
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Auchan","https://www.auchan.fr/auchan-bio-petit-suisse-3-6-mg-6x60g/pr-43371","adult","AUCHAN BIO Petit-suisse 3.6% MG 6x60g","LAIT biologique demi-écrémé pasteurisé, ferments lactiques.","
            356
        ","
            85
        ","
            3.6
        ","
            2.2
        ","
            3.5
        ","
            3.5
        ","
            9.6
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
