"","shop","URL","type","name","ingredients","Valeurs Energétiques en Kj (ap100g/ml)","Valeurs Energétiques en Kcal (ap100g/ml)","Matières grasses (en g) (ap100g/ml)","dont acides gras saturés (en g) (ap100g/ml)","Glucides (en g) (ap100g/ml)","dont sucres (en g) (ap100g/ml)","Protéines (en g) (ap100g/ml)","Sel (en g) (ap100g/ml)","Valeurs Energétiques en Kj (ap_jour_%)","Valeurs Energétiques en Kcal (ap_jour_%)","Matières grasses (en g) (ap_jour_%)","dont acides gras saturés (en g) (ap_jour_%)","Glucides (en g) (ap_jour_%)","dont sucres (en g) (ap_jour_%)","Protéines (en g) (ap_jour_%)","Sel (en g) (ap_jour_%)","Fibres alimentaires (en g) (ap100g/ml)","Fibres alimentaires (en g) (ap_jour_%)","Vitamine D (en µg) (ap100g/ml)","Calcium (en mg) (ap100g/ml)","Vitamine D (en µg) (ap_jour_%)","Calcium (en mg) (ap_jour_%)","Amidon (en g) (ap100g/ml)","Vitamine E (en mg) (ap100g/ml)","Vitamine C (en mg) (ap100g/ml)","Vitamine B6 (en mg) (ap100g/ml)","Potassium (en mg) (ap100g/ml)","Chlorure (en mg) (ap100g/ml)","Magnésium (en mg) (ap100g/ml)","Zinc (en mg) (ap100g/ml)","Amidon (en g) (ap_jour_%)","Vitamine E (en mg) (ap_jour_%)","Vitamine C (en mg) (ap_jour_%)","Vitamine B6 (en mg) (ap_jour_%)","Potassium (en mg) (ap_jour_%)","Chlorure (en mg) (ap_jour_%)","Magnésium (en mg) (ap_jour_%)","Zinc (en mg) (ap_jour_%)","Vitamine A (en µg) (ap100g/ml)","Vitamine K (en µg) (ap100g/ml)","Thiamine (en mg) (ap100g/ml)","Riboflavine (en mg) (ap100g/ml)","Niacine (en mg) (ap100g/ml)","Acide folique (en µg) (ap100g/ml)","Vitamine B12 (en µg) (ap100g/ml)","Acide pantothénique (en mg) (ap100g/ml)","Phosphore (en mg) (ap100g/ml)","Fer (en mg) (ap100g/ml)","Cuivre (en mg) (ap100g/ml)","Manganèse (en mg) (ap100g/ml)","Fluorure (en mg) (ap100g/ml)","Iode (en µg) (ap100g/ml)","Vitamine A (en µg) (ap_jour_%)","Vitamine K (en µg) (ap_jour_%)","Thiamine (en mg) (ap_jour_%)","Riboflavine (en mg) (ap_jour_%)","Niacine (en mg) (ap_jour_%)","Acide folique (en µg) (ap_jour_%)","Vitamine B12 (en µg) (ap_jour_%)","Acide pantothénique (en mg) (ap_jour_%)","Phosphore (en mg) (ap_jour_%)","Fer (en mg) (ap_jour_%)","Cuivre (en mg) (ap_jour_%)","Manganèse (en mg) (ap_jour_%)","Fluorure (en mg) (ap_jour_%)","Iode (en µg) (ap_jour_%)"
"12","Auchan","https://www.auchan.fr/gervais-petit-frais-nature-3-9-de-matiere-grasse-12x60g/pr-303390","adult","Gervais Petit Frais nature 3,9% de matière grasse 12x60g","LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur (sorbate de calcium (papier traité) / E203 (papier traité)) LAIT : Origine France","
            367
        ","
            88
        ","
            3.9
        ","
            2.7
        ","
            3.8
        ","
            3.8
        ","
            9.3
        ","
            0.08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Auchan","https://www.auchan.fr/gervais-petit-suisse-nature-12x60g/pr-20083","adult","Gervais petit suisse nature 12x60g",".","
            586
        ","
            143
        ","
            9.5
        ","
            6.7
        ","
            4.5
        ","
            4.5
        ","
            9.3
        ","
            .08
        ","
            4
        ","
            4
        ","
            8
        ","
            20
        ","
            1
        ","
            3
        ","
            11
        ","
            1
        ","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Auchan","https://www.auchan.fr/malo-petits-suisses-40-x6/pr-41897","adult","Malo petits suisses 40% x6","""entier pasteurisé, LAIT écrémé pasteurisé, présure, ferments LACTIQUES, conservateur : sorbate de potassium (papier traité).Origine du lait : France Produit sujet à la dessication.","
            704
        ","
            169
        ","
            12
        ","
            8.3
        ","
            2.3
        ","
            2.3
        ","
            13
        ","
            0.07
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Auchan","https://www.auchan.fr/jockey-fromage-blanc-nature-3-mg-1kg/pr-14939","adult","Jockey Fromage blanc nature 3% MG 1kg","Fromage blanc (64,9%) (LAIT) LAIT écrémé crème (LAIT) poudre de LAIT écrémé protéines de LAIT ferments lactiques (LAIT) vitamine D","
            303
        ","
            72
        ","
            3
        ","
            2.1
        ","
            4.4
        ","
            4.4
        ","
            6.9
        ","
            0.11
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","0","0","
            1.25
        ","
            130
        ","
            25
        ","
            16
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Auchan","https://www.auchan.fr/les-300-bio-fromage-blanc-nature-4x100g/pr-276006","adult","LES 300 & BIO Fromage blanc nature 4x100g","LAIT écrémé pasteurisé * Crème pasteurisée (LAIT) * Ferments lactiques (LAIT) * Ingrédients issus de l'agriculture biologique","
            343
        ","
            82
        ","
            4.3
        ","
            2.8
        ","
            3.1
        ","
            3.1
        ","
            7.7
        ","
            0.1
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            
        ","
            0
        ","
            
        ","0","
            120
        ","0","
            15
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Auchan","https://www.auchan.fr/auchan-fromage-blanc-0-mg-1kg/pr-21687","adult","AUCHAN Fromage blanc 0% MG 1kg","Lait&#xa0; écrémé pasteurisé, ferments lactiques (contient  lait).","
            194
        ","
            46
        ","
            0
        ","
            0
        ","
            3.4
        ","
            3.4
        ","
            8
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Auchan","https://www.auchan.fr/auchan-fromage-blanc-3-7-mg-4x100g/pr-806590","adult","AUCHAN Fromage blanc 3.7% MG 4x100g","Lait  demi écrémé pasteurisé, protéines de  lait , ferments lactiques (contient  lait ). Elaboré à partir de lait origine France","
            300
        ","
            72
        ","
            3.7
        ","
            2.4
        ","
            3.2
        ","
            3.2
        ","
            6.4
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Auchan","https://www.auchan.fr/vrai-fromage-blanc-bio-au-lait-de-brebis-100g/pr-386826","adult","VRAI Fromage blanc bio au lait de brebis 100g","Ingrédients : LAIT de brebis pasteurisé*, ferments lactiques sélectionnés.  * Issu de l'agriculture biologique","
            422
        ","
            101
        ","
            6.8
        ","
            4.6
        ","
            4.7
        ","
            4.7
        ","
            5.3
        ","
            0.07
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Auchan","https://www.auchan.fr/auchan-bio-fromage-blanc-500g/pr-364851","adult","AUCHAN BIO Fromage blanc 500g","lait  écrémé pasteurisé *, crème pasteurisée ( lait ) * , ferments  lactiques .        * ingrédients issus de l'agriculture biologique   Elaboré à partir de lait origine France","
            317
        ","
            75
        ","
            3.2
        ","
            2.1
        ","
            4.3
        ","
            4.3
        ","
            7.2
        ","
            0.09
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Auchan","https://www.auchan.fr/auchan-fromage-blanc-sucre-a-la-vanille-0-mg-8x100g/pr-23836","adult","AUCHAN Fromage blanc sucré à la Vanille 0% MG 8x100g","Lait  écrémé pasteurisé, sucre 8%, eau, amidon modifié de manioc, arôme naturel de vanille, gousse de vanille épuisée broyée, concentré de carthame; épaississant : gomme xanthane ; correcteur d'acidité : acide citrique, citrate de sodium ;  ferments  lactiques.   Elaboré à partir de lait origine France.","
            292
        ","
            69
        ","
            0.1
        ","
            0.1
        ","
            10.2
        ","
            9.6
        ","
            6.7
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0.5
        ",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
