"shop";"url";"type";"name";"ingredients";"val.energ.kcalp100";"val.energ.pkcalpj";"val.energ.kjp100";"val.energ.pkjpj";"mat.grasses.gp100";"dont.acides.gras.satures.gp100";"mat.grasses.ppj";"dont.acides.gras.satures.ppj";"glucides.gp100";"dont.sucres.gp100";"glucides.ppj";"dont.sucres.ppj";"proteines.gp100";"proteines.ppj";"sel.gp100";"sel.ppj";"a.folique.mcgp100";"a.folique.ppj";"a.pantothenique.mgp100";"a.pantothenique.ppj";"amidon.gp100";"amidon.ppj";"calcium.mgp100";"calcium.ppj";"chlorure.mgp100";"chlorure.ppj";"cuivre.mgp100";"cuivre.ppj";"f.aliment.gp100";"f.aliment.ppj";"fer.mgp100";"fer.ppj";"fluorure.mgp100";"fluorure.ppj";"iode.mcgp100";"iode.ppj";"magnesium.mgp100";"magnesium.ppj";"manganese.mgp100";"manganese.ppj";"niacine.mgp100";"niacine.ppj";"phosphore.mgp100";"phosphore.ppj";"potassium.mgp100";"potassium.ppj";"riboflavine.mgp100";"riboflavine.ppj";"thiamine.mgp100";"thiamine.ppj";"vitamine.a.mcgp100";"vitamine.a.ppj";"vitamine.b12.mcgp100";"vitamine.b12.ppj";"vitamine.b6.mgp100";"vitamine.b6.ppj";"vitamine.c.mgp100";"vitamine.c.ppj";"vitamine.d.mcgp100";"vitamine.d.ppj";"vitamine.e.mgp100";"vitamine.e.ppj";"vitamine.k.mcgp100";"vitamine.k.ppj";"zinc.mgp100";"zinc.ppj"
"Auchan";"https://www.auchan.fr/auchan-essentiel-fromage-blanc-1kg/pr-654686";"adult";"AUCHAN ESSENTIEL Fromage blanc 1kg";"Fromage blanc ( lait  écrémé pasteurisé et&#xa0;ferments lactiques)";48;NA;206;NA;0,5;0,2;NA;NA;5;5;NA;NA;7,1;NA;0,09;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/taillefine-0-fromage-blanc-allege-peche-4x120g/pr-327759";"adult";"Taillefine 0% fromage blanc allégé pêche 4x120g";"pêche (9 %) fructose (1,5 %) LAIT écrémé en poudre agent de charge : E 1200 (polydextrose) (fibres) épaississants : E 1442 (amidon transformé), E 440 (pectine), E 412 (gomme guar) protéines de LAIT correcteurs d'acidité: citrate de calcium (E333), acide citrique (E330) colorant : E 160a (bêta-carotène) arôme édulcorants : E 950 (acésulfame K), E 955 (sucralose) ferments lactiques (LAIT) vitamine D";53;3;227;3;0,1;0,06;1;1;6,4;6,1;3;8;6,4;15;0,13;3;NA;NA;NA;NA;NA;NA;120;15;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,5;30;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/les-2-vaches-skyr-bio-nature-0-de-mg-480g/pr-341102";"adult";"LES 2 VACHES Skyr bio nature 0% de MG 480g";"Ingrédients : Ingrédients : LAIT* écrémé, ferments lactiques (LAIT) LAIT : Origine France *Issu de l'agriculture biologique";57;NA;244;NA;0,2;0,1;NA;NA;3,9;3,9;NA;NA;10;NA;0,09;NA;NA;NA;NA;NA;NA;NA;110;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/alsace-lait-fromage-blanc-0-4x100g/pr-10682";"adult";"Alsace Lait fromage blanc 0% 4x100g";".";48;3;206;3;0,5;0,2;0;0;5,3;5,3;3;7;6,6;17;0,09;2;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-faisselle-0-4x100g/pr-11522";"adult";"Auchan faisselle 0% 4x100g";"Lait  écrémé pasteurisé (contient  lait ),&#xa0;préparation de protéines d'origine laitière (contient  lait ), ferments lactiques&#xa0;(contient  lait ),&#xa0;présure. Elaboré à partir de lait origine France.";34;NA;145;NA;0;0;0;0;4;4;NA;NA;4,5;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-faisselle-0-1kg/pr-10389";"adult";"Auchan faisselle 0% 1kg";"Lait  écrémé pasteurisé, préparation de protéines d'origine laitière (contient  lait ), ferments lactiques&#xa0;(contient  lait ), présure. Lait et dérivés du lait origine France.";38;NA;160;NA;0;0;NA;NA;5,3;3,9;NA;NA;4,1;NA;0,11;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/vrai-yaourt-nature-bio-0-mg-8x125g/pr-803419";"adult";"Vrai yaourt nature bio 0%mg 8x125g";"LAIT écrémé*, LAIT écrémé en poudre*, ferments lactiques sélectionnés.* : issu de l'Agriculture Biologique&#xa0;";47;2,35;198;2,36;0,1;0;0,14;0;6,5;5;2,5;5,56;4,9;9,8;0,15;2,5;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-yaourt-a-la-grecque-4x150g/pr-33163";"adult";"AUCHAN Yaourt à la grecque 4x150g";"Lait  entier 78%, crème ( lait ) 20%, ferments  lactiques , protéines de  lait .   Traces de blé et d'œufs.  Elaboré à partir de lait origine France.";106,5;NA;441,5;NA;8,9;5,8;NA;NA;3,3;3,3;NA;NA;3,3;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yaos-yaourt-a-la-grecque-nature-4x150g/pr-36484";"adult";"YAOS Yaourt à la grecque nature 4x150g";"Ingrédients : LAIT entier (83,1%), crème (12,0%) (LAIT), poudre de LAIT écrémé, ferments lactiques.";104;NA;431;NA;8,4;5,6;NA;NA;3,4;3,4;NA;NA;2,9;NA;0,12;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/delta-yaourt-grec-authentique-egoutte-nature-10-mg-1kg/pr-303606";"adult";"Delta Yaourt grec authentique égoutté nature 10%mg 1kg";"LAIT de vache, crème de LAIT, ferments LACTIQUES";134;10;557;10;10;6,5;21;49;3,8;3,8;2;6;6,5;20;0,12;3;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
