"shop";"url";"type";"name";"ingredients";"val.energ.kcalp100";"val.energ.pkcalpj";"val.energ.kjp100";"val.energ.pkjpj";"mat.grasses.gp100";"dont.acides.gras.satures.gp100";"mat.grasses.ppj";"dont.acides.gras.satures.ppj";"glucides.gp100";"dont.sucres.gp100";"glucides.ppj";"dont.sucres.ppj";"proteines.gp100";"proteines.ppj";"sel.gp100";"sel.ppj";"a.folique.mcgp100";"a.folique.ppj";"a.pantothenique.mgp100";"a.pantothenique.ppj";"amidon.gp100";"amidon.ppj";"calcium.mgp100";"calcium.ppj";"chlorure.mgp100";"chlorure.ppj";"cuivre.mgp100";"cuivre.ppj";"f.aliment.gp100";"f.aliment.ppj";"fer.mgp100";"fer.ppj";"fluorure.mgp100";"fluorure.ppj";"iode.mcgp100";"iode.ppj";"magnesium.mgp100";"magnesium.ppj";"manganese.mgp100";"manganese.ppj";"niacine.mgp100";"niacine.ppj";"phosphore.mgp100";"phosphore.ppj";"potassium.mgp100";"potassium.ppj";"riboflavine.mgp100";"riboflavine.ppj";"thiamine.mgp100";"thiamine.ppj";"vitamine.a.mcgp100";"vitamine.a.ppj";"vitamine.b12.mcgp100";"vitamine.b12.ppj";"vitamine.b6.mgp100";"vitamine.b6.ppj";"vitamine.c.mgp100";"vitamine.c.ppj";"vitamine.d.mcgp100";"vitamine.d.ppj";"vitamine.e.mgp100";"vitamine.e.ppj";"vitamine.k.mcgp100";"vitamine.k.ppj";"zinc.mgp100";"zinc.ppj"
"Auchan";"https://www.auchan.fr/minus-lait-demi-ecreme-sans-lactose-1l/pr-244292";"adult";"Minus lait demi écrémé sans lactose 1l";".";47;NA;197;NA;1,5;1;NA;NA;4,9;4,9;NA;NA;3,4;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yoplait-petit-suisse-3-8-mg-12x60g/pr-658727";"adult";"YOPLAIT Petit-suisse 3.8% MG 12x60g";"Ingrédients : LAIT écrémé et crème pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium.   LAIT D’ORIGINE FRANCE";87;NA;364;NA;3,8;2,5;NA;NA;4,1;4,1;NA;NA;9;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-petit-suisse-10-4-mg-12x60g/pr-26944";"adult";"AUCHAN Petit-suisse 10.4% MG 12x60g";"Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait ) , conservateur :  sorbate de calcium (papier traité).";141;NA;585;NA;10,4;6,9;NA;NA;3,5;3,5;NA;NA;8,3;NA;0,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-6x60g/pr-303253";"adult";"Gervais Petit suisse nature 9.5% MG 6x60g";"LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)";143;NA;586;NA;9,5;6,7;NA;NA;4,5;4,5;NA;NA;9,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-12x60g/pr-304356";"adult";"Gervais Petit suisse nature 9.5% MG 12x60g";"LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)";143;NA;586;NA;9,5;6,7;NA;NA;4,5;4,5;NA;NA;9,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yoplait-petit-suisse-3-6-mg-6x60g/pr-658725";"adult";"YOPLAIT Petit-suisse 3.6% MG 6x60g";"Ingrédients : LAIT écrémé et CREME pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium. LAIT D’ORIGINE FRANCE";87;NA;364;NA;3,8;2,5;NA;NA;4,1;4,1;NA;NA;9;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-petit-suisse-3-8-mg-12x60g/pr-652462";"adult";"AUCHAN Petit-suisse 3.8% MG 12x60g";"Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait  ), conservateur :  sorbate de calcium (papier traité)";85;NA;358;NA;3,8;2,6;NA;NA;3,7;3,7;NA;NA;9,1;NA;0,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/alsace-lait-petit-suise-nature-6x60g/pr-805586";"adult";"ALSACE LAIT Petit suise nature 6x60g";"LAIT pasteurisé,&#xa0;CREME pasteurisée 33%, ferments lactiques, conservateur : sorbate de potassium (papier traité). * Origine : France";143;4;594;4;10,4;7,1;9;21;4,3;4,3;1;3;8;10;0,1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-frais-nature-sucre-6x60g/pr-806606";"adult";"AUCHAN Fromage frais nature sucré 6x60g";"Fromage frais au  lait  demi-écrémé pasteurisé, sucre 7,3%, conservateur : sorbate de&#xa0;potassium (papier traité). Elaboré à partir de lait origine France.";112;NA;473;NA;3,6;2,3;NA;NA;10,7;10,3;NA;NA;9,3;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-essentiel-petit-fromage-frais-nature-6x60g/pr-320862";"adult";"AUCHAN ESSENTIEL Petit fromage frais nature 6x60g";"Fromage frais au  lait  demi-écrémé pasteurisé, conservateur : sorbate de potassium (papier traité).  Elaboré à partir de lait origine France.";84,8;NA;355,9;NA;3,6;2,3;NA;NA;3,5;3,5;NA;NA;9,6;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-frais-nature-3-9-de-matiere-grasse-12x60g/pr-303390";"adult";"Gervais Petit Frais nature 3,9% de matière grasse 12x60g";"LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur (sorbate de calcium (papier traité) / E203 (papier traité)) LAIT : Origine France";88;NA;367;NA;3,9;2,7;NA;NA;3,8;3,8;NA;NA;9,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-suisse-nature-12x60g/pr-20083";"adult";"Gervais petit suisse nature 12x60g";".";143;4;586;4;9,5;6,7;8;20;4,5;4,5;1;3;9,3;11;0,08;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/malo-petits-suisses-40-x6/pr-41897";"adult";"Malo petits suisses 40% x6";"""entier pasteurisé, LAIT écrémé pasteurisé, présure, ferments LACTIQUES, conservateur : sorbate de potassium (papier traité).Origine du lait : France Produit sujet à la dessication.";169;NA;704;NA;12;8,3;NA;NA;2,3;2,3;NA;NA;13;NA;0,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/jockey-fromage-blanc-nature-3-mg-1kg/pr-14939";"adult";"Jockey Fromage blanc nature 3% MG 1kg";"Fromage blanc (64,9%) (LAIT) LAIT écrémé crème (LAIT) poudre de LAIT écrémé protéines de LAIT ferments lactiques (LAIT) vitamine D";72;NA;303;NA;3;2,1;NA;NA;4,4;4,4;NA;NA;6,9;NA;0,11;NA;NA;NA;NA;NA;NA;NA;130;16;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,25;25;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/les-300-bio-fromage-blanc-nature-4x100g/pr-276006";"adult";"LES 300 & BIO Fromage blanc nature 4x100g";"LAIT écrémé pasteurisé * Crème pasteurisée (LAIT) * Ferments lactiques (LAIT) * Ingrédients issus de l'agriculture biologique";82;NA;343;NA;4,3;2,8;NA;NA;3,1;3,1;NA;NA;7,7;NA;0,1;NA;NA;NA;NA;NA;NA;NA;120;15;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-0-mg-1kg/pr-21687";"adult";"AUCHAN Fromage blanc 0% MG 1kg";"Lait&#xa0; écrémé pasteurisé, ferments lactiques (contient  lait).";46;NA;194;NA;0;0;NA;NA;3,4;3,4;NA;NA;8;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-3-7-mg-4x100g/pr-806590";"adult";"AUCHAN Fromage blanc 3.7% MG 4x100g";"Lait  demi écrémé pasteurisé, protéines de  lait , ferments lactiques (contient  lait ). Elaboré à partir de lait origine France";72;NA;300;NA;3,7;2,4;NA;NA;3,2;3,2;NA;NA;6,4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/vrai-fromage-blanc-bio-au-lait-de-brebis-100g/pr-386826";"adult";"VRAI Fromage blanc bio au lait de brebis 100g";"Ingrédients : LAIT de brebis pasteurisé*, ferments lactiques sélectionnés.  * Issu de l'agriculture biologique";101;NA;422;NA;6,8;4,6;NA;NA;4,7;4,7;NA;NA;5,3;NA;0,07;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-bio-fromage-blanc-500g/pr-364851";"adult";"AUCHAN BIO Fromage blanc 500g";"lait  écrémé pasteurisé *, crème pasteurisée ( lait ) * , ferments  lactiques .        * ingrédients issus de l'agriculture biologique   Elaboré à partir de lait origine France";75;NA;317;NA;3,2;2,1;NA;NA;4,3;4,3;NA;NA;7,2;NA;0,09;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-sucre-a-la-vanille-0-mg-8x100g/pr-23836";"adult";"AUCHAN Fromage blanc sucré à la Vanille 0% MG 8x100g";"Lait  écrémé pasteurisé, sucre 8%, eau, amidon modifié de manioc, arôme naturel de vanille, gousse de vanille épuisée broyée, concentré de carthame; épaississant : gomme xanthane ; correcteur d'acidité : acide citrique, citrate de sodium ;  ferments  lactiques.   Elaboré à partir de lait origine France.";69;NA;292;NA;0,1;0,1;NA;NA;10,2;9,6;NA;NA;6,7;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/les-2-vaches-yaourt-bio-nature-brasse-4x115g/pr-797564";"adult";"Les 2 vaches Yaourt bio nature brassé 4x115g";"LAIT entier biologique (97,3%), , LAIT écrémé en poudre biologique, ferments lactiques.";69;4;288;4;3,5;2,4;6;14;5,2;5,2;2;7;4,1;9;0,15;3;NA;NA;NA;NA;NA;NA;144;21;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-3-2-mg-1kg/pr-21760";"adult";"AUCHAN Fromage blanc 3.2% MG 1kg";"Lait  écrémé pasteurisé ; crème pasteurisée (contient  lait ); ferments lactiques (contient  lait ).";72;NA;302;NA;3,2;2,1;NA;NA;3,2;3,2;NA;NA;7,6;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/rians-mini-faisselle-4x100g/pr-22669";"adult";"RIANS Mini faisselle 4x100g";"Présure animaleLAIT pasteuriséFerments LACTIQUES";73;NA;305;NA;4,4;3;NA;NA;4,5;4,1;NA;NA;3,8;NA;0,13;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-3-7-mg-8x100g/pr-273194";"adult";"AUCHAN Fromage blanc 3.7% MG 8x100g";"Lait  demi écrémé pasteurisé, protéines de  lait , ferments  lactiques .  Elaboré à partir de lait origine France";72;NA;300;NA;3,7;2,4;NA;NA;3,2;3,2;NA;NA;6,4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yoplait-calin-fromage-blanc-3-2-mg-850g/pr-21614";"adult";"YOPLAIT Calin Fromage blanc 3.2% MG 850g";"Ingrédients : LAIT écrémé partiellement déshydraté - LAIT écrémé - CREME - Concentré des minéraux du LAIT - Ferments LACTIQUES (LAIT) - Vitamine D. LAIT D'ORIGINE FRANCE";83;NA;348;NA;3,2;2,2;NA;NA;6,8;6,8;NA;NA;5,7;NA;0,12;NA;NA;NA;NA;NA;NA;NA;240;30;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;100;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/vrai-fromage-blanc-bio-0-mg-500g/pr-34711";"adult";"VRAI Fromage blanc bio 0% MG 500g";"Ingrédients : LAIT écrémé pasteurisé*, ferments lactiques sélectionnés.  *Issus de l'agriculture biologique";48;NA;202;NA;0;0;NA;NA;4,5;4,5;NA;NA;7,4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-faisselle-4x100g/pr-29733";"adult";"AUCHAN Faisselle 4x100g";"lait&#xa0; pasteurisé, &#xa0;crème&#xa0;pasteurisée (contient  lait ), préparation de protéines d’origine&#xa0;laitière&#xa0;(contient &#xa0;lait ), ferments lactiques&#xa0;(contient&#xa0; lait ), présure Elaboré à partir de lait origine France.";84;NA;350;NA;6;4,5;NA;NA;3,5;3,5;NA;NA;4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/c-est-qui-le-patron-fromage-blanc-6-8-mg-1kg/pr-288129";"adult";"C'EST QUI LE PATRON ?! Fromage blanc 6.8%MG 1kg";"LAIT entier et CREME pasteurisés (Origine : France), ferments lactiques, présure.";92;NA;384;NA;6,8;4,3;NA;NA;4,4;3;NA;NA;3,4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-3-1-500g/pr-794828";"adult";"AUCHAN Fromage blanc 3.1% 500g";"Fromage blanc ( lait  écrémé pasteurisé,  crème  pasteurisée et ferments lactiques).";301;NA;72;NA;2,8;1,9;NA;NA;4,9;4,9;NA;NA;6,7;NA;0,09;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/danone-fromage-blanc-nature-3-2-mg-825g/pr-160219";"adult";"Danone  Fromage blanc nature 3,2% MG 825g";"LAIT écrémé et crème (LAIT) pasteurisés ferments lactiques (LAIT) LAIT : Origine France";75;4;316;4;3,2;2,2;5;11;3,9;3,9;2;4;7,7;15;0,09;2;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/rians-faisselle-6x100g/pr-653230";"adult";"RIANS Faisselle 6x100g";"Présure animaleLAIT entier pasteurisé - LAIT de vacheCREME pasteuriséeFerments LACTIQUES";73;NA;305;NA;4,4;3;NA;NA;4,5;4,1;NA;NA;3,8;NA;0,13;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/vrai-fromage-blanc-bio-3-6-mg-100g/pr-790886";"adult";"VRAI Fromage blanc bio 3.6% MG 100g";"Ingrédients : LAIT pasteurisé*, ferments lactiques sélectionnés.  *Issus de l'agriculture biologique";76;NA;319;NA;3,6;2,4;NA;NA;3,7;3,7;NA;NA;7,2;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/rians-faisselle-1kg/pr-21782";"adult";"RIANS Faisselle 1kg";"Présure animaleLAIT entier pasteuriséFerments LACTIQUES-";76;NA;317;NA;4,5;3,5;NA;NA;4,8;3,5;NA;NA;4;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-faisselle-au-lait-et-creme-pasteurisee-6-mg-1kg/pr-10388";"adult";"AUCHAN Faisselle au lait et crème pasteurisée 6%mg 1kg";"Lait &#xa0;pasteurisé, crème&#xa0;pasteurisée (contient  lait ), préparation de protéines d’origine&#xa0;laitière&#xa0;(contient&#xa0; lait ), ferments lactiques&#xa0;(contient&#xa0; lait ), présure. Lait et dérivés du lait origine France";84;NA;350;NA;6;4,1;NA;NA;4,5;3,4;NA;NA;3;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-bio-fromage-frais-nature-4x100g/pr-317874";"adult";"AUCHAN BIO Fromage frais nature 4x100g";"Fromage frais nature au  lait  demi écrémé pasteurisé, source de calcium - contient plus de 82% d'humidité - issu de l'agriculture biologique  Elaboré à partir de lait origine France";73,2;NA;306,6;NA;3,6;2,3;NA;NA;2,9;2,9;NA;NA;7,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/vrai-fromage-blanc-au-lait-de-brebis-bio-4x100g/pr-917069";"adult";"Vrai Fromage blanc au lait de brebis bio 4x100g.";"Ingrédients : LAIT de brebis pasteurisé*, ferments lactiques sélectionnés (LAIT)  *Issu de l'agriculture biologique";101;NA;422;NA;6,8;4,6;NA;NA;4,7;4,7;NA;NA;5,3;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/alsace-lait-bibelskaes-aux-fines-herbes-500g/pr-20625";"adult";"ALSACE LAIT Bibelskaes aux fines herbes 500g";"LAIT pasteurisé,&#xa0;CREME fraîche pasteurisée : 25%, fines herbes (persil, ciboulette, cerfeuil, échalote, ail) : 2,5%, sel, poivre, épaississant : xanthane, correcteur d'acidité : acide citrique, conservateur : sorbate de potassium, ferments LACTIQUES. *Origine : France";115;7;480;7;8,1;5,5;14;35;4,5;4,5;2;6;6,1;15;0,8;17;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-blanc-7-8-mg-4x100g/pr-860011";"adult";"Auchan Fromage blanc 7.8% MG 4x100g";"Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait ). Elaboré à partir de lait origine France";110;NA;457;NA;7,8;5,1;NA;NA;2,9;2,9;NA;NA;7;NA;0,1;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/jockey-fromage-blanc-nature-3-mg-8x100g/pr-809974";"adult";"Jockey Fromage blanc nature 3% MG 8x100g";"Fromage blanc (64,9%) (LAIT) LAIT écrémé crème (LAIT) poudre de LAIT écrémé protéines de LAIT ferments lactiques (LAIT) vitamine D";72;NA;303;NA;3;2,1;NA;NA;4,4;4,4;NA;NA;6,9;NA;0,11;NA;NA;NA;NA;NA;NA;NA;130;16;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,25;25;NA;NA;NA;NA;NA;NA
